,Q1_1,Q1_2,Q1_4,Q3_1,Q3_2,Q3_3,Q9,Q2,Q8_1,Q8_2,Q8_99,Q6ax1_1,Q6ax3_2,Q7_1,Q7_2,Q7_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_8,Q14_99,Q15_2,Q15_3,Q15_5,Q15_7,Q15_8,Q15_10,Q15_99,Q10_2
82,1,1,0,1,1,0,Somewhat familiar,"20,001-50,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
83,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
84,1,1,0,0,1,0,Very familiar,"Less than 10,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
85,1,0,0,0,1,0,Somewhat familiar,"Less than 10,000",1,0,0,1.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
86,1,1,0,1,1,0,Very familiar,"Less than 10,000",1,0,0,2.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87,1,1,0,1,0,0,Very familiar,"20,001-50,000",1,1,0,4.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
88,0,0,1,1,0,0,Very familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
89,1,0,0,0,1,0,Somewhat familiar,"10,000-20,000",0,0,1,5.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
90,0,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat disagree,Somewhat disagree,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
91,1,1,0,1,1,0,Not at all familiar,"10,000-20,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
92,1,0,0,1,0,0,Not at all familiar,"20,001-50,000",0,0,1,3.0,0.0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
93,1,0,0,0,1,0,Somewhat familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
94,1,0,0,1,0,0,Very familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
95,1,1,0,1,1,0,Very familiar,"Less than 10,000",1,0,0,1.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
96,1,0,0,0,0,1,Not at all familiar,"10,000-20,000",0,0,1,4.0,0.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,1,0,0,1,1,0,Somewhat familiar,"Less than 10,000",1,0,0,4.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
98,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,2.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
99,1,1,0,1,1,0,Somewhat familiar,"20,001-50,000",0,0,1,0.0,0.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
100,0,1,0,0,1,0,Somewhat familiar,"20,001-50,000",1,0,0,0.0,0.0,Somewhat disagree,Somewhat disagree,Somewhat disagree,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
101,1,0,1,1,0,0,Not at all familiar,"Less than 10,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,3.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
103,0,1,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat disagree,Strongly agree,Strongly disagree,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0
104,0,1,0,0,1,0,Very familiar,"Less than 10,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
106,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Somewhat agree,Strongly agree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,1.0,0.0,Strongly disagree,Somewhat disagree,Strongly disagree,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
108,1,1,0,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,2.0,0.0,Somewhat agree,Somewhat disagree,Somewhat disagree,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
109,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly disagree,Strongly agree,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,0,1,0,1,1,0,Somewhat familiar,"Less than 10,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
111,0,1,0,0,1,0,Somewhat familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
112,1,0,0,1,0,1,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Somewhat agree,Strongly agree,Somewhat disagree,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
113,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,5.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
114,1,0,0,1,0,0,Not at all familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,0,1,1,1,0,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
116,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,4.0,0.0,Strongly agree,Strongly disagree,Strongly disagree,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
117,1,0,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,4.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
118,1,1,0,0,1,0,Very familiar,"10,000-20,000",0,0,1,2.0,0.0,Somewhat disagree,Somewhat agree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
119,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,0,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly disagree,Strongly agree,Somewhat disagree,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
121,1,1,0,0,0,1,Somewhat familiar,"Less than 10,000",0,0,1,3.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
122,1,1,0,1,0,0,Not at all familiar,"20,001-50,000",0,0,1,0.0,0.0,Strongly agree,Neither agree nor disagree,Somewhat agree,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
123,1,0,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,3.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
124,0,0,1,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Somewhat agree,Strongly agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
125,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
126,0,1,0,1,1,0,Very familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
127,0,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,5.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
128,1,1,0,1,1,0,Somewhat familiar,"20,001-50,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
129,1,1,0,1,1,0,Somewhat familiar,"Less than 10,000",1,0,0,4.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
130,1,1,0,1,0,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
131,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,3.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
